Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#69,NECKOLOL,League of Legends,434,viewers,0.2%,of League of Legends,0.15%,of Spanish viewership
#70,LUNARIA,Just Chatting,423,viewers,0.12%,of Just Chatting,0.15%,of Spanish viewership
#71,SPINECARD,Just Chatting,416,viewers,0.12%,of Just Chatting,0.14%,of Spanish viewership
#72,ANYTIMESHIELD,Apex Legends,399,viewers,1.17%,of Apex Legends,0.14%,of Spanish viewership
#73,MK_GASSTON1990,Mortal Kombat 11,390,viewers,30.83%,of Mortal Kombat 11,0.13%,of Spanish viewership
#74,SOYLORDHERMOSO,League of Legends: Wild Rift,388,viewers,19.04%,of League of Legends: Wild Rift,0.13%,of Spanish viewership
#75,OVINXXXX,The Simpsons,384,viewers,20.97%,of The Simpsons,0.13%,of Spanish viewership
#76,IMANTADO,VALORANT,382,viewers,0.26%,of VALORANT,0.13%,of Spanish viewership
#77,ELPELOTASSSSS,Albion Online,380,viewers,3.88%,of Albion Online,0.13%,of Spanish viewership
#78,ANGELAWS,Just Chatting,374,viewers,0.11%,of Just Chatting,0.13%,of Spanish viewership
#79,ADICTOSTV,Retro,373,viewers,7.84%,of Retro,0.13%,of Spanish viewership
#80,RETROTVLATAM,El Chavo,371,viewers,76.65%,of El Chavo,0.13%,of Spanish viewership
Rank,Gamer,Category,Number of Viewers,viewers,Percentage of Viewers,of,Of Game,Percentage Of Spanish viewership,of,Of Spanish,viewership
#81,STEYB,The Legend of Zelda: Tears of the Kingdom,370,viewers,2.56%,of The Legend of Zelda: Tears of the Kingdom,0.13%,of Spanish viewership
#82,NICRO4FUN,Diablo IV,369,viewers,0.08%,of Diablo IV,0.13%,of Spanish viewership
#83,SADICAZ,Albion Online,354,viewers,3.61%,of Albion Online,0.12%,of Spanish viewership
#84,JACKFYAH,Albion Online,341,viewers,3.48%,of Albion Online,0.12%,of Spanish viewership
#85,MTMSAMU,Stumble Guys,339,viewers,25.53%,of Stumble Guys,0.12%,of Spanish viewership
#86,KITOHHHH,Grand Theft Auto V,338,viewers,0.28%,of Grand Theft Auto V,0.12%,of Spanish viewership
#87,AYLULO,VALORANT,320,viewers,0.22%,of VALORANT,0.11%,of Spanish viewership
