UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,CHANNEL TYPE,USER CREATED,Gamer,Games,"Sep 19th, 2018"
0,113,0,CHANNEL TYPE,,"Sep 29th, 2011",Bruno Sol,,
72,218K,"14,780,798",ES,Entertainment,"Apr 4th, 2013",Borja Pavón,,
349,12.6K,"324,267",ES,Games,"Jan 23rd, 2015",Sankhs,,
"2,509",120K,"17,461,614",ES,Games,"Mar 6th, 2012",Elopi23,,
624,361K,"51,109,230",ES,News,"Oct 31st, 2016",Rafael Escrig,,
0,198,0,ES,Comedy,"Mar 30th, 2006",Maya Pixelskaya,,
"3,709",60.1K,"56,319,151",GB,Games,"Nov 1st, 2005",GAME,,
"1,167",722K,"202,941,216",ES,Games,"Apr 19th, 2016",Jugón Virtual,,
7,76,398,ES,Games,"Oct 1st, 2011",Alehandoro,,
922,13K,"1,896,978",ES,Games,"Sep 6th, 2013",El Diario de Kode,,
759,31.6K,"6,378,666",ES,Games,"Jul 9th, 2020",Chiclana & Friends,,
1,6,"1,914",MX,Film,"Aug 27th, 2010",Sr Serpiente,,
326,181K,"8,975,432",ES,Games,"Mar 22nd, 2012",Paracetamor,,
427,653K,"23,259,065",ES,Games,"Dec 18th, 2017",Axozer,,
4,2.85K,"83,939",ES,Games,"Apr 3rd, 2013",Corvus Clan,,
8,67,"2,049",DE,People,"Nov 18th, 2019",Pandarina,,
109,10K,"483,478",ES,Games,"Aug 8th, 2012",Coque López,,
760,100K,"23,429,619",ES,Games,"May 20th, 2013",Madapls,,
192,27.8K,"3,388,894",UA,Howto,"Oct 1st, 2014",Zick,,
108,573K,"21,408,354",ES,Entertainment,"Jul 5th, 2015",Aroyitt,,
288,6.48M,"1,165,092,274",ES,Music,"Oct 19th, 2011",Kronno zomber,,
0,58,0,US,Games,"Feb 13th, 2014",Maximus,,
91,17.3K,"1,091,527",ES,Film,"Nov 20th, 2005",Polispol,,
350,681,"21,917",IN,Games,"Dec 29th, 2017",Vegetta,,
631,217K,"60,413,978",CHANNEL TYPE,,,BillyCherokee,USER CREATED,APPLY FOR YOUTUBE PARTNERSHIP
132,12.2K,"959,949",ES,Autos,"Sep 27th, 2006",Lucas Ordoñez,,
27,135,836,ES,Games,"Feb 25th, 2018",Pazos,,
506,51.7K,"7,256,425",ES,Games,"Feb 18th, 2018",Arlan360,,
228,1.96M,"372,850,281",ES,Entertainment,"Mar 8th, 2012",Zorman,,
0,96,0,BY,Games,"Oct 11th, 2006",Alexby,,
0,138K,0,ES,People,"May 1st, 2014",Jordi Wild,,
33,14,"3,443",CHANNEL TYPE,,"Apr 8th, 2020",Fargan,,
"1,200",2.57M,"426,315,434",ES,Entertainment,"May 1st, 2012",Perxitaa,,
19,172K,"53,792,375",ES,People,"Apr 16th, 2020",Edurne,,
0,96,0,BY,Games,"Oct 11th, 2006",alexby,,
0,138K,0,ES,People,"May 1st, 2014",jordi wild,,
58,422,"94,925",IN,Games,"Jul 16th, 2014",gaming corner,,
759,31.6K,"6,378,666",ES,Games,"Jul 9th, 2020",Chiclana & Friends,,
